City,LATITUDE,LONGITUDE
Detroit,42.3314,-83.0458
Spokane,47.6589,-117.425
Nashville,36.1658,-86.7844
Philadelphia ,39.9522,-75.1642
Pittsburgh,40.4343,-79.8281
Derry Exeter ,42.8806,-71.3272
Washington DC ,38.907192,-77.036871
Miami,25.7739,-80.1939
New York,40.7142,-74.0064
Philadelphia ,39.9522,-75.1642
Boston ,42.3583,-71.0603
Chicago,41.85,-87.65
Chicago,41.85,-87.65
Baltimore ,39.4568,-76.691
Baltimore ,39.4568,-76.691
Denver ,39.7392,-104.9842
Minneapolis,44.98,-93.2636
Indianapolis,39.7683,-86.1581
Baltimore ,39.4568,-76.691
HLLY ,39.9522,-75.1642
Salt Lake City,40.5226,-112.9605
Jacksonville,30.2371,-81.7553
Hartford-New Haven ,38.971262,-81.982031
Burlington,44.475882,-73.212072
San Francisco,37.774929,-122.419416
Sacramento,38.581572,-121.4944
San Francisco,37.774929,-122.419416
Detroit,42.3314,-83.0458
San Francisco,37.774929,-122.419416
Boston ,42.360082,-71.05888
Philadelphia ,39.9522,-75.1642
New York,40.7142,-74.0064
Philadelphia ,39.9522,-75.1642
Detroit,42.3314,-83.0458
Chicago,41.85,-87.65
San Francisco,37.774929,-122.419416
Atlanta,33.748995,-84.387982
Homewood,33.471773,-86.800823
HLLY ,39.9522,-75.1642
Detroit,42.3314,-83.0458
Knoxville,35.960638,-83.920739
Baltimore ,39.4568,-76.691
Richmond ,37.540725,-77.436048
Charleston,32.776475,-79.931051
San Francisco,37.774929,-122.419416
Sacramento,38.581572,-121.4944
Salt Lake City,40.5226,-112.9605
Denver ,39.7392,-104.9842
Albuquerque,35.085334,-106.605553
Philadelphia ,39.9522,-75.1642
Peoria,40.693649,-89.588986
Boston ,42.360082,-71.05888
Burlington,44.475882,-73.212072
Hartford-New Haven ,38.971262,-81.982031
Portland,45.523062,122.676482
Shreveport,32.525152,-93.750179
Detroit,42.3314,-83.0458
Atlanta,33.748995,-84.387982
Miami,25.7739,-80.1939
Denver ,39.7392,-104.9842
Seattle,47.606209,-122.332071
Philadelphia ,39.9522,-75.1642
Chicago,41.85,-87.65
Minneapolis,44.98,-93.2636
Houston,29.760427,-95.369803
Washington DC ,38.907192,-77.036871
Jacksonville,30.332184,-81.655651
ColoradoSprings,38.833882,-104.821363
Seattle,47.606209,-122.332071
New York,40.7142,-74.0064
Chicago,41.85,-87.65
San Francisco,37.774929,-122.419416
Seattle,47.606209,-122.332071
Homewood,33.471773,-86.800823
Springfield-Holyoke,42.217209,-72.626944
Pittsburgh,40.4343,-79.8281
Atlanta,33.748995,-84.387982
ColoradoSprings,38.833882,-104.821363
Chicago,41.85,-87.65
Atlanta,33.748995,-84.387982
Miami,25.7739,-80.1939
Wilkes-Barre ,41.245915,-75.881307
Washington DC ,38.907192,-77.036871
Salisbury,38.360674,-75.599369
Derry Exeter ,42.8806,-71.3272
Pittsburgh,40.4343,-79.8281
Detroit,42.3314,-83.0458
Detroit,42.3314,-83.0458
Panama City,30.158813,-85.660206
Fresno,36.746842,-119.772587
Rockford,42.271131,-89.093995
Nashville,36.1658,-86.7844
Atlanta,33.748995,-84.387982
Chicago,41.85,-87.65
Miami,25.7739,-80.1939
Homewood,33.471773,-86.800823
Boston ,42.360082,-71.05888
Roanoke,37.27097,-79.941427
San Francisco,37.774929,-122.419416
Fresno,36.746842,-119.772587
Salt Lake City,40.5226,-112.9605
Seattle,47.606209,-122.332071
Chicago,41.85,-87.65
Portland,45.523062,-122.676482
Detroit,42.3314,-83.0458
New York,40.7142,-74.0064
Boston ,42.360082,-71.05888
Atlanta,33.748995,-84.387982
Philadelphia ,39.9522,-75.1642
Chicago,41.85,-87.65
Pittsburgh,40.4343,-79.8281
Miami,25.7739,-80.1939
Hartford-New Haven ,38.971262,-81.982031
Detroit,42.3314,-83.0458
Baltimore ,39.4568,-76.691
Miami,25.7739,-80.1939
Houston,29.760427,-95.369803
Washington DC ,38.907192,-77.036871
